股票代码,股票简称,现价(元),涨跌幅(%),解禁股类型2020.01.01-2020.12.31,解禁日期2020.01.01-2020.12.31,总解禁股数(股)2020.01.01-2020.12.31,总解禁金额(元)2020.01.01-2020.12.31,解禁成本(元)2020.01.01-2020.12.31
002668.SZ,奥马电器,5.26,0.96,定向增发机构配售股份,20200304,158318785.00,875502881.05,6.45
002669.SZ,康达新材,18.79,3.41,定向增发机构配售股份,20200316,11363633.00,153636318.16,10.93
002669.SZ,康达新材,18.79,3.41,定向增发机构配售股份,20200430,3922258.00,55539173.28,19.71
002681.SZ,*ST奋达,6.04,5.04,定向增发机构配售股份,20200907,--,--,8.64
002682.SZ,龙洲股份,4.22,0.96,定向增发机构配售股份,20200330,86791139.00,354975758.51,7.29
002682.SZ,龙洲股份,4.22,0.96,定向增发机构配售股份,20200512,20708162.00,80761831.80,7.79
002685.SZ,华东重机,6.19,0.00,定向增发机构配售股份,20200511,95675678.00,453502713.72,8.77
002696.SZ,百洋股份,6.91,0.88,定向增发机构配售股份,20200928,--,--,10.45
002707.SZ,众信旅游,9.20,10.05,定向增发机构配售股份,20200116,17332784.00,116302980.64,10.67
002709.SZ,天赐材料,41.25,2.43,定向增发机构配售股份,20200803,1193656.00,46576457.12,25.75
002712.SZ,思美传媒,10.20,3.03,定向增发机构配售股份,20200520,13420893.00,90725236.68,16.84
002712.SZ,思美传媒,10.20,3.03,定向增发机构配售股份,20200605,2936096.00,20905003.52,16.84
002714.SZ,牧原股份,89.73,1.28,定向增发机构配售股份,20200424,224491030.00,28824648252.00,13.17
002714.SZ,牧原股份,89.73,1.28,定向增发机构配售股份,20200903,--,--,38.19
002721.SZ,金一文化,4.17,0.48,定向增发机构配售股份,20201026,--,--,14.55
002721.SZ,金一文化,4.17,0.48,定向增发机构配售股份,20201222,--,--,11.35
002727.SZ,一心堂,40.08,7.34,定向增发机构配售股份,20201228,--,--,18.48
002738.SZ,中矿资源,16.06,0.88,定向增发机构配售股份,20200511,27097380.00,406460700.00,15.80
002739.SZ,万达电影,18.88,0.48,定向增发机构配售股份,20200527,190436922.00,3026042690.58,33.20
002740.SZ,爱迪尔,6.41,0.16,定向增发机构配售股份,20200420,9814782.00,72040499.88,10.63
002741.SZ,光华科技,13.75,1.48,定向增发机构配售股份,20200713,2845760.00,37905523.20,17.35
002753.SZ,永东股份,8.73,2.71,定向增发机构配售股份,20201104,--,--,7.56
002765.SZ,蓝黛传动,5.02,-1.18,定向增发机构配售股份,20200610,25095392.00,107408277.76,7.20
002765.SZ,蓝黛传动,5.02,-1.18,定向增发机构配售股份,20201222,--,--,3.33
002780.SZ,三夫户外,18.85,5.72,定向增发机构配售股份,20201221,--,--,17.97
002787.SZ,华源控股,8.60,-4.23,定向增发机构配售股份,20200203,6878900.00,47051676.00,6.85
002787.SZ,华源控股,8.60,-4.23,定向增发机构配售股份,20200805,2263894.00,18269624.58,16.12
002796.SZ,世嘉科技,20.33,0.30,定向增发机构配售股份,20200608,9775063.00,220427670.65,14.44
002798.SZ,帝欧家居,30.21,0.20,定向增发机构配售股份,20200513,43947161.00,1452893142.66,17.65
002803.SZ,吉宏股份,46.40,-0.69,定向增发机构配售股份,20200518,25393699.00,808789313.15,19.90
002806.SZ,华锋股份,12.70,-1.24,定向增发机构配售股份,20200928,--,--,20.88
002825.SZ,纳尔股份,17.06,-1.27,定向增发机构配售股份,20200828,671493.00,11455670.58,13.07
002837.SZ,英维克,25.36,1.04,定向增发机构配售股份,20200608,5105851.00,140513019.52,15.01
